Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Is Hourly,Have Employer Provided,Min Salary,Max Salary,Avg Salary,Company,State,Age of Company,python_ind,excel_ind,rstudio_ind,aws_ind,spark_ind,sql_ind,Requirements
Data Scientist,Employer Provided Salary:$140K - $220K,"Data science dream job:
Sit in meetings, clean data, and build models nobody uses
Let's get real. You became a data scientist because you want a career building innovative solutions that solve hard problems. Unfortunately ... most companies are clueless about what you do.
In your ideal job:
You work with an elite engineering team.
You work on hard problems.",0.0,Prolego,Georgia,Unknown,0,Unknown,Unknown,Unknown,Unknown / Non-Applicable,0,1,140,220,180.0,Prolego,Unknown,Unknown,0,0,0,0,0,0,No requirement specified
Data Scientist,Employer Provided Salary:$70K - $90K,"Data Scientist
QuaEra, a rapidly growing NY/NJ-based startup, is looking for ambitious, passionate professionals to join its expanding team. QuaEra provides business organizations with cutting-edge decision-making solutions using advanced analytics, predictive modeling, and decision science methods.
QuaEra has developed a transformative hyper-personalization scoring-as-a- service solution called Aignyte (www.aignyte.com), which uses the latest in
AI, NLP, and other innovative techniques to increase direct marketing response. The hired individual will be part of the firm’s data science team building and implementing Aignyte and supporting the servicing of clients.
Applicants can be remote to NY/NJ but may need to travel there when conditions allow that.
Our Co-founders have a combined 50 years of experience in leadership roles in the industry. We are looking for quantitative problem solvers to work alongside them as well as senior business leaders to deliver and grow
Aignyte. If you have the entrepreneurial drive, intellectual curiosity, willingness to think out of the box, and want to learn from the best, then we want to hear from you.",0.0,Aignyte,Remote,Unknown,0,Unknown,Unknown,Unknown,Unknown / Non-Applicable,0,1,70,90,80.0,Aignyte,Remote,Unknown,0,0,0,0,0,0,No requirement specified
Data Scientist II,Employer Provided Salary:$119K - $160K,"Education in Data Science, Statistics, Economics, Science, Applied Science or relevant field of study
Ability to turn complex problems into simple solutions
Minimum 2+ years of relevant work experience
Domestic and international travel up to 10% may be required
Virtual location is okay for this role.

The Market Intelligence team for Workforce Staffing applies and insights to optimize the experience and operations for Amazon’s largest candidate population – Tier 1 Associates who bring the magic of Amazon’s industry-leading brand promise for customer fulfillment to life. The pace at which job creation, hiring, and growth that happens to support the scale and complexity of Amazon businesses is a problem Amazon is uniquely qualified to solve for and continually innovate on. Workforce Staffing literally hires by the hundreds of thousands across multiple business lines, job types, and shift configurations. The Market Intelligence team in particular focuses on applying labor market, candidate, and competitor intelligence to uplevel job offerings, mitigate operational risk, best position Amazon for its long-term growth. Come join a team that is continually shaping and writing the future of the hourly worker job offering landscape.

The Market Intelligence is highly capable and highly curious about blending science, economics, and operations research across internal and external sources to tell a compelling story of market risk and what we can do about it. You will wrangle across multiple sources, apply the right machine learning s, and visualize insights for senior operations and business partners. You will collaborate closely as part of a blended science-based product team blending research, engineering, visual analytics, and product and program capabilities.

Key Responsibilities
Inclusive Team Culture
Here at Amazon, we embrace our differences. We are committed to furthering our culture of inclusion. We have 12 affinity groups (employee resource groups) with more than 87,000 employees across hundreds of chapters around the world. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which reminds team members to seek diverse perspectives, learn and be curious, and earn trust.

Flexibility
It isn’t about which hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We offer flexibility and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
We care about your career growth too. Whether your goals are to explore new technologies, take on bigger opportunities, or get to the next level, we'll help you get there. Our business is growing fast and our people will grow with it.

The base pay range for this position in Colorado is $ 119,300 - 160,000 a year; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon’s internal or external careers site.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us",3.7,"Amazon.com Services LLC
3.7",Remote,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),0,1,119,160,139.5,"Amazon.com Services LLC
",Remote,27,0,0,0,0,0,0,No requirement specified
Data Scientist - 100% Remote,Employer Provided Salary:$125K - $180K,"Data Scientist:
2 full time personnel needed
US Citizenship Required
Position is 100% remote
The Data Scientist must have two or more years of hands-on experience
developing analytic rules and models using leading edge fraud analytic tools and
best practices.
The Data Scientist must have two or more years of hands-on experience of data",0.0,i3its llc,Remote,Unknown,0,Unknown,Unknown,Unknown,Unknown / Non-Applicable,0,1,125,180,152.5,i3its llc,Remote,Unknown,0,0,0,0,0,0,No requirement specified
Data Scientist,Employer Provided Salary:$78K - $181K,"Title
Data Scientist
Reports to
Primary Location
Millyard
Work Hours
Monday through Friday 8:00am – 4:30pm, with the ability to work nights and weekends as the business needs dictate.",4.1,"SOUTHERN NEW HAMPSHIRE UNIVERSITY
4.1",Remote,10000+ Employees,1932,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,0,1,78,181,129.5,"SOUTHERN NEW HAMPSHIRE UNIVERSITY
",Remote,89,0,0,0,0,0,0,No requirement specified
Data Scientist & ML/AI Engineer,Employer Provided Salary:$140K,"Teramind is seeking a highly-experienced Data Scientist & ML Engineer. There is no minimum education required for this position, but candidates should have 5+ years of advanced experience working with big data and ML. Promising candidates will go through a rigorous interview process to ensure a good fit. This is a full-time, remote position during your normal local work hours.

This a REMOTE position.


Technical Requirements",4.0,"Teramind
4.0",Remote,51 to 200 Employees,2014,Company - Private,Internet,Information Technology,$10 to $25 million (USD),0,1,140,140,140.0,"Teramind
",Remote,7,0,0,0,0,0,0,No requirement specified
Data Scientist,Employer Provided Salary:$90K - $115K,"Data Scientist
Boulder, CO -
Remote OK
Full-Time
Engineering
Outside Interactive, Inc., the premier hub for active lifestyle enthusiasts, offers best-in-class content and experiences to more than 70 million of the world’s most passionate outdoor, wellness, and endurance enthusiasts every month. We inspire a broad and diverse audience to do the activities they love with great enjoyment, inspiration, and knowledge and are dedicated to making real change in the outdoor and fitness industries. Day after day, story after story, Outside Interactive, Inc., proves that a hike, a climb, a run, a ride, a day skiing, or a yoga practice can change lives - and change the world.
Come join the Gaia GPS team at Outside and help build the future of outdoor mapping. In this role you will work on backend systems used to manage user data, and search systems used to find places to hike, bike, and adventure. You will work with a small team of software engineers, designers, and product managers to build a product used by millions of outdoor enthusiasts.
We are looking for a savvy data expert who will craft the data vision for Gaia GPS and help build the future of outdoor maps. The hire will be responsible for expanding and optimizing our data ecosystem to provide insights across the company, working with teams to build ideal architecture, and optimizing data flow and collection for cross-functional teams. The ideal candidate is an experienced data pipeline builder, wrangler, and analyst who enjoys optimizing data systems and building them from the ground up. The Data Scientist will support every arm of Gaia GPS on data initiatives and ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems, and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products, data initiatives, and measuring core KPIs. The position will balance the responsibilities of building all data reports/insight for Gaia GPS core metrics while working with larger Outside Inc to blend massive data pipelines.",3.0,"Outside Online
3.0","Boulder, CO",201 to 500 Employees,0,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,0,1,90,115,102.5,"Outside Online
",CO,Unknown,0,0,0,0,0,0,No requirement specified
Data Scientist,Employer Provided Salary:$70K - $173K,"Data Scientists develop algorithms and statistical methods that find patterns and relationships in large volumes of data, driving operations and shaping CIA technology investments.
Full time
Starting salary: $70,150 - $172,500*
Higher starting salary possible depending on experience level
Bachelor's degree
Foreign language bonus eligible
About the Job
As a Data Scientist for CIA, you will organize and interpret data to inform U.S. decision-makers, drive successful operations, and shape CIA technology and resource investments. Through CIA’s global mission, the Agency has access to unique and highly specialized data sets. You will work with advanced hardware, software, and techniques to develop computational algorithms and statistical methods that find patterns and relationships in large volumes of data. You will also create scalable, high performance, and repeatable computational solutions which realize their algorithmic approaches. Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at academic, and technical conferences as well as collaboration with the Intelligence Community.",4.0,"Central Intelligence Agency
4.0","Washington, DC",Unknown,1947,Government,Federal Agencies,Government,Unknown / Non-Applicable,0,1,70,173,121.5,"Central Intelligence Agency
",DC,74,0,0,0,0,0,0,No requirement specified
Telework Data Scientist,$53K - $97K (Glassdoor est.),"Arcetyp LLC is a growing small business that provides a broad range of consulting services to US Federal Government, US Military, and Commercial clients. Services include Management & IT Consulting, Program & Project Management, and Professional & Admin Services.

Immediate opening for a long-term multi-year engagement to fill a position for a Telework Data Scientist. Position will be telework. We accept direct hire candidates only, W2 employee hires. We do not accept 1099 independent consultants. We do not accept staffing firms. We do not accept corp-to-corp (C2C) candidates. We can't sponsor H1B.

EDUCATION / EXPERIENCE:
The Data Scientist must have two (2) or more years of hands-on experience (non-collegiate) developing analytic rules and models using leading edge fraud analytic tools and best practices.",0.0,Arcetyp LLC,"Seattle, WA",Unknown,0,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,0,0,53,97 ,75.0,Arcetyp LLC,WA,Unknown,0,0,0,0,0,0,No requirement specified
Data Scientist – Deep learning,Employer Provided Salary:$130K,"Data Scientist – Deep learning
Remote
Market leading salary plus benefits
TECH STACK: Object-Oriented Programming languages
One of the fastest growing Insurtech companies in the US is looking for a Data scientist with a experience in Deep learning to join.
ABOUT THE COMPANY
This organisation has recently received a huge seed investment to scale out their platform across the US and as a direct result are investing multiple millions of dollars into their advanced analytics capabilities.",0.0,Dataworks,"New York, NY",51 to 200 Employees,0,Company - Private,Consulting,Business Services,Less than $1 million (USD),0,1,130,130,130.0,Dataworks,NY,Unknown,0,0,0,0,0,0,No requirement specified
